handicap,swing_speed,driver_carry,shot_shape,goal,iron_miss,iron_feel,wedge_turf,divot_depth,driver_loft,shaft_flex,fairway_wood_loft,iron_category,wedge_bounce
19.7,81.4,208,Hook,Accuracy,Left/Right,Confidence-inspiring,Soft,Deep,10.5,L,18,game-improvement,High
7.6,94.9,232,Straight,Distance,Left/Right,No preference,Firm,Deep,10.5,R,16.5,players-cb,Mid
23.8,89.9,237,Hook,Accuracy,Inconsistent,No preference,Soft,Medium,10.5,R,18,game-improvement,High
25.5,81.0,170,Slice,Forgiveness,Fat/Thin,Confidence-inspiring,Soft,Deep,12,L,21,super-game-improvement,High
0.0,106.5,247,Draw,Distance,Consistent,Forged/Blade-like,Soft,Deep,8,X,15,blade,High
5.3,105.4,242,Fade,Accuracy,Consistent,Forged/Blade-like,Firm,Shallow,9,X,15,blade,Low
18.2,72.3,144,Draw,Distance,Fat/Thin,Confidence-inspiring,Soft,Deep,12,A,21,super-game-improvement,High
14.2,91.4,229,Straight,Accuracy,Consistent,Confidence-inspiring,Firm,Medium,10.5,R,18,players-distance,Low
16.8,102.7,238,Fade,Accuracy,Left/Right,Confidence-inspiring,Firm,Shallow,9,S,16.5,players-distance,Low
9.3,98.2,240,Draw,Distance,Inconsistent,Forged/Blade-like,Soft,Medium,9,S,16.5,blade,High
24.9,79.8,218,Straight,Accuracy,Fat/Thin,Confidence-inspiring,Firm,Deep,12,A,21,super-game-improvement,Low
24.0,84.2,193,Slice,Forgiveness,Fat/Thin,Confidence-inspiring,Soft,Deep,12,R,21,super-game-improvement,High
17.6,94.0,215,Straight,Distance,Consistent,Forged/Blade-like,Normal,Medium,10.5,R,16.5,blade,Mid
27.1,62.9,149,Fade,Forgiveness,Inconsistent,Forged/Blade-like,Firm,Deep,12,L,21,super-game-improvement,High
21.2,71.8,182,Straight,Forgiveness,Inconsistent,No preference,Firm,Deep,10.5,L,21,super-game-improvement,Mid
9.3,98.8,225,Straight,Accuracy,Consistent,Forged/Blade-like,Soft,Medium,9,S,16.5,blade,High
20.3,79.7,179,Slice,Forgiveness,Fat/Thin,No preference,Soft,Medium,12,A,21,super-game-improvement,High
8.4,107.5,266,Fade,Accuracy,Consistent,No preference,Normal,Deep,8,X,15,blade,High
24.9,77.2,186,Slice,Forgiveness,Fat/Thin,Confidence-inspiring,Soft,Deep,12,A,21,super-game-improvement,High
16.6,75.4,151,Slice,Accuracy,Inconsistent,Forged/Blade-like,Firm,Deep,12,A,21,players-distance,Mid
15.3,81.5,176,Straight,Distance,Inconsistent,Forged/Blade-like,Normal,Shallow,10.5,A,18,players-distance,Low
10.9,76.2,199,Straight,Distance,Fat/Thin,No preference,Firm,Shallow,12,A,21,game-improvement,Low
28.0,74.2,180,Draw,Forgiveness,Fat/Thin,Confidence-inspiring,Normal,Shallow,8,A,15,super-game-improvement,Low
15.6,88.7,199,Straight,Distance,Consistent,Forged/Blade-like,Firm,Medium,9,X,18,blade,Low
13.1,90.0,209,Slice,Distance,Left/Right,Confidence-inspiring,Normal,Deep,10.5,S,18,game-improvement,High
13.8,99.7,234,Slice,Distance,Left/Right,Confidence-inspiring,Normal,Deep,9,S,15,game-improvement,High
21.8,91.3,224,Draw,Forgiveness,Fat/Thin,Confidence-inspiring,Normal,Deep,12,R,21,super-game-improvement,High
20.3,83.5,179,Slice,Forgiveness,Fat/Thin,Confidence-inspiring,Normal,Deep,12,A,21,super-game-improvement,High
20.7,69.3,152,Slice,Forgiveness,Fat/Thin,Forged/Blade-like,Normal,Medium,12,L,21,super-game-improvement,Mid
20.9,88.3,211,Slice,Forgiveness,Fat/Thin,Confidence-inspiring,Normal,Deep,12,R,21,super-game-improvement,High
36.0,70.5,164,Slice,Distance,Left/Right,Confidence-inspiring,Firm,Medium,12,L,21,super-game-improvement,Low
13.3,94.9,230,Slice,Accuracy,Left/Right,Confidence-inspiring,Firm,Shallow,10.5,R,16.5,game-improvement,Low
12.4,100.6,220,Hook,Distance,Fat/Thin,Forged/Blade-like,Normal,Deep,9,S,16.5,game-improvement,High
9.7,88.7,213,Straight,Distance,Inconsistent,Confidence-inspiring,Soft,Medium,10.5,R,18,players-cb,High
22.5,96.2,240,Draw,Accuracy,Fat/Thin,No preference,Soft,Deep,9,R,18,game-improvement,High
27.2,70.0,171,Slice,Forgiveness,Left/Right,Confidence-inspiring,Normal,Deep,12,S,21,super-game-improvement,High
16.0,94.8,225,Draw,Distance,Inconsistent,Confidence-inspiring,Soft,Shallow,10.5,R,16.5,game-improvement,Mid
9.4,85.4,199,Hook,Accuracy,Consistent,Forged/Blade-like,Soft,Medium,10.5,X,18,blade,High
9.6,90.4,202,Fade,Forgiveness,Consistent,Confidence-inspiring,Normal,Medium,12,R,21,players-distance,Low
22.9,92.3,216,Slice,Distance,Fat/Thin,Confidence-inspiring,Firm,Deep,10.5,R,16.5,super-game-improvement,Mid
23.7,78.9,202,Draw,Accuracy,Fat/Thin,Confidence-inspiring,Normal,Medium,12,S,21,blade,Mid
21.9,88.7,207,Hook,Accuracy,Fat/Thin,Confidence-inspiring,Normal,Deep,10.5,R,18,players-distance,High
11.0,97.0,216,Fade,Forgiveness,Fat/Thin,Forged/Blade-like,Firm,Deep,9,S,16.5,players-distance,Mid
